"(Note: S: surface water sample, B: bottom water sample",,A4S Note: Skeletonema bloom,B3S,C1S Note: low cell abundance,D3S,E1S Note: low cell abundance,F2S Note: low cell abundance,H4S Note: low cell abundance,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S  Note: very low cell abundance,A4B Note: Skeletonema bloom,B3B,C1B,D3B Note: large amount of debris,E1B Note: large amount of debris; low cell abundance,F2B  Note: low cell abundance,H4B Note: debris; low cell abundance,I2B  Note: low cell abundance,J2B  Note: very low cell abundance,K2B  Note: very low cell abundance,A4S Note: Major Skeletonema and Guinardia delicatula blooms,B3S Note: minor Skeletonema and Guinardia delicatula blooms,C1S Note: minor Guinardia delicatula bloom,D3S Note: minor Guinardia delicatula bloom,E1S Note: low cell abundance,F2S Note: minor Guinardia delicatula bloom,H4S NOTE: low cell abundance,I2S NOTE: low cell abundance,J2S NOTE: low cell abundance,K2S NOTE: low cell abundance,A4B Note: Major Skeletonema and Guinardia delicatula blooms,"B3B Note: major Skeletonema bloom, Guinardia delicatula bloom.",C1B Note: regular Skeletonema and Guinardia delicatula blooms,D3B Note: minor Skeletonema and Guinardia delicatula blooms,E1B Note: minor Skeletonema and Guinardia delicatula blooms,F2B Note: minor Guinardia delicatula bloom,H4B Note: minor Guinardia delicatula bloom,I2B Note: minor Guinardia delicatula bloom,J2B NOTE: low cell abundance,K2B NOTE: low cell abundance,A4S Note: major Guinardia delicatula bloom,B3S Note: major Guinardia delicatula bloom,C1S Note: major Guinardia delicatula bloom,D3S Note: major Guinardia delicatula bloom,E1S  Note: major Guinardia delicatula bloom,F2S  Note: major Guinardia delicatula bloom,H4S Note: major Guinardia delicatula bloom,I2S Note: regular Guinardia delicatula bloom,J2S Note: minor Guinardia delicatula bloom,K2S Note: minor Guinardia delicatula bloom,A4B Note: major Guinardia delicatula bloom,B3S Note: major Guinardia delicatula bloom,C1B Note: major Guinardia delicatula bloom,D3B Note: major Guinardia delicatula bloom,E1B  Note: major Guinardia delicatula bloom,F2B  Note: major Guinardia delicatula bloom,H4B Note: major Guinardia delicatula bloom,I2B Note: regular Guinardia delicatula bloom,J2B Note: minor Guinardia delicatula bloom,K2B Note: Low cell abundance,A4S,B3S,C1S,D3S,E1S Note: Very low cell abundance,F2S Note: Very low cell abundance,H4S,I2S,J2S Note: Low cell abundance,K2S Note: Low cell abundance ,A4B,B3B Note: Low cell abundance,C1B Note: Low cell abundance,D3B,E1B Note: Low cell abundance,F2B Note: Low cell abundance,H4B,I2B Note: Low cell abundance,J2B,K2B Note: Very low cell abundance,A4S Note: Major Dactyliosolen fragilissimus bloom,B3S Note: Dactyliosolen fragilissimus bloom,C1S Note: minor Dactyliosolen fragilissimus bloom,"D3S Note: Skeletonema spp. Bloom, minor Dactyliosolen fragilissimus bloom","E1S Note: major Skeletonema spp. Bloom, minor Dactyliosolen fragilissimus bloom","F2S Note: major Skeletonema spp. Bloom, minor Thalassionema nitzschiodes bloom","H4S Note:skeletonema spp. Bloom, minor Thalassionema nitzschiodes bloom",I2S Note: Debris,J2S Note: Low cell abundance  ,K2S Note: Low cell abundance,A4B Note: Dactyliosolen fragilissimus bloom,B3B Note: minor Dactyliosolen fragilissimus bloom,C1B ,"D3B Note: Debris, minor Dactyliosolen fragilissimus bloom",E1B,F2B Note: minor Skeletonema spp. bloom,H4B Note: Low cell abundance,I2B Note: Debris,J2B Note: Very low cell abundance  ,K2B Note: Very low cell abundance,A4S Note: Bloom of medium to large sized Thalassiosira  (15- >20µm),"B3S  Note: minor bloom of Medium to large sized Thalassiosira  (15- >20µm),  Skeletonema spp. ",C1S,D3S,E1S,F2S Note: Minor Skeletonema spp. and Thalassionema nitzschiodes blooms,H4S Note: Very low cell abundance,I2S Note: Low cell abundance,J2S Note: Low cell abundance,K2S,A4B,B3B  Note: Minor Thalassionema nitzschiodes bloom,C1B Note: Minor Thalassionema nitzschiodes bloom,D3B Note: Minor Thalassionema nitzschiodes bloom,E1B Note: Minor Thalassionema nitzschiodes bloom,F2B Note: Minor Thalassionema nitzschiodes bloom,H4B,I2B Note: Very low cell abundance,J2B Note: Low cell abundance,K2B Note: Very low cell abundance ,A4S Note:  Chaetoceros and Small-sized Thalassiosira blooms,B3S Note:  Small-sized Thalassiosira bloom,C1S Note:  Small-sized Thalassiosira bloom,D3S Note:  Small-sized Thalassiosira bloom ,E1S ,F2S,H4S  ,I2S ,J2S Note: no sample,K2S ,A4B Note:  Large amount of debris. minor small-sized Thalassiosira bloom,B3B Note: Large amount of debris.,C1B Note: Large amount of debris; low cell abundance,D3B Note: Large amount of debris.,E1B Note: Low cell abundance,F2B Note: Low cell abundance ,H4B Note: Low cell abundance,I2B Note: Very low cell abundance,J2B Note: no sample,K2B Note: Very low cell abundance,"A4S Note: Blooms of Chaetoceros spp. and Eutreptiella spp. (regular), and Skeletonema spp.,  Heterocapsa triquetra (minor) and  H. circularisquama (minor)","B3S  Note: debris, Eutreptiella spp. bloom (regular)",C1S  Note: Minor Heterocapsa circularisquama Bloom,D3S ,E1S,F2S ,H4S ,I2S ,J2S,K2S ,A4B Note: Debris,B3B  Note: Debris ,"C1B  Note: Debris, very low cell abundance",D3B Note: Large amount of debris,"E1B Note: Large amount of debris, low cell abundance",F2B  Note: Low cell abundance,H4B  Note: Low cell abundance,I2B Note: Very low cell abundance,J2B,K2B  Note: Low cell abundance,A4S Note: Debris,B3S Note: Debris,C1S Note: Low cell abundance,D3S Note: Debris; Low cell abundance,E1S Note: Very low cell abundance,F2S Note: Low cell abundance,H4S Note: Low cell abundance,I2S,J2S Note: minor Skeletonema spp.  bloom,K2S Note: minor Skeletonema spp.  bloom,"A4B Note: Large amount of debris, very low cell abundance","B3B Note: Debris,  low cell abundance",C1B Note: Very low cell abundance,"D3B Note: Large amount of debris,  low cell abundance","E1B Note: Large amount of debris, very low cell abundance",F2S Note: Very low cell abundance,H4B Note: Very low cell abundance,I2B Note: Low cell abundance,J2B Note: minor Skeletonema spp.  bloom,K2B Note: Low cell abundance,A4S Note: Debris,B3S Note: Low cell abundance,C1S Note: Minor Chaetoceros spp. bloom,D3S,E1S Note: Minor Chaetoceros spp. Bloom,F2S Note: low cell abundance ,H4S Note: Minor Skeletonema spp. Bloom,I2S Note: Minor Skeletonema spp. bloom,J2S Note: Minor Skeletonema spp. Bloom,K2S Note: Low cell abundance,A4B Note: Large amount of debris,B3B Note: Low cell abundance,C1B,D3B Note: Debris,E1B Note: Debris; very low cell abundance,F2B ,H4B Note: Low cell abundance,"I2B Note: Large amount of debris, minor Skeletonema spp. Bloom",J2B Note: Minor Skeletonema spp. Bloom,K2B Note: Minor Skeletonema spp. Bloom,A4S,B3S,C1S,D3S,E1S Note: Very low cell abundance,F2S Note: Low cell abundance,H4S Note: minor Teleaulax spp. bloom.,I2S Note: debris,J2S Note: Very low cell abundance ,K2S Note: Very low cell abundance,A4B Note: Very low cell abundance,B3S Note: Very low cell abundance,C1B Note: Very low cell abundance,D3B Note: Debris; low cell abundance,E1B Note: Debris; very low cell abundance,F2B Note: Low cell abundance,H4B Note: Very low cell abundance ,I2B Note: Very low cell abundance ,J2B Note: Very low cell abundance ,K2B Note: Very low cell abundance,A4S Note: Skeletonema spp. Bloom,B3S Note: Skeletonema spp. Bloom,C1S Note: minor Skeletonema spp. Bloom,D3S Note: Very low cell abundance,E1S,F2S Note: some debris; low cell abundance,H4S  Note: debris; very low cell abundance,I2S Note: debris; very low cell abundance,J2S Note: Very low cell abundance ,K2S Note: Very low cell abundance,A4B Note: Skeletonema spp. Bloom,B3B Note: Skeletonema spp. Bloom,C1B Note: Low cell abundance ,D3B Note: Very low cell abundance,E1B Note: Low cell abundance,F2B Note: some debris; very low cell abundance,H4B  Note: Large amount of debris; low cell abundance,I2B Note: debris;  very low cell abundance,J2B Note: Very low cell abundance ,K2B Note: Very low cell abundance
,Melosira spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula,Navicula ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Navicula cryptocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Navicula spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,704,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,176,,,,,352,,,,,,,,,,,
Neodelphineis,Neodelphineis spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitzschia,Nitzschia closterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia longissima,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,704,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,2904,,,,704,,,,,,5852,,,1452,704,,17600,704,1452,,,,1452,,,,2904,,13200,,,22000,,13200,35200,35200,26400,,61600,,44000,8800,1452,,1452,2904,13200,,1452,,17600,171600,202400,158400,26400,1452,1452,1452,66000,1452,70400,,,,,,4400,,4400,22000,8800,13200,4400,13200,13200,1452,,1452,,17600,4400,1452,1452,,1452,,704,,,1452,1452,,,,,,,704,1452,,,4400,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia lorenziana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia navicularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia obtusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nitzschia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,352,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odontella,Odontella aurita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odontella longicruris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odontella mobiliensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odontella sinensis,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odontella spp.,,,,,,,,,,,352,1452,352,17600,704,,,,,,14652,,,,,,,,,,,22000,,,,,1452,10252,,,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,176,,,,1452,,,,,,,176,704,,,352,,,,,,,704,,,,,,,,,352,,,,,,,,,,1452,,,,,,,176,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralia,Paralia sulcata,30800,,,19052,,8800,35200,11704,66000,4400,39600,5852,22000,26400,22000,8800,39600,,30800,30800,22000,22000,,,,,,5852,,,39600,,,,35200,,,35200,,,,8800,2904,,,,,,,,2904,7304,2904,,2904,2904,2904,,8800,,,,,1452,704,,,2904,,,1452,,,5852,1452,5852,10252,,,5852,,,,,10252,13200,,17600,,17600,44000,,,17600,,5852,2904,66000,,,,,,,,,,,,,10252,14652,26400,17600,,35200,26400,17600,,,,,,,,,,,,17600,35200,17600,17600,13200,17600,10252,39600,2904,,,,10252,,,,,,,1452,,,30800,13200,26400,13200,35200,17600,13200,,,,17600,,,,4400,,,,4400,,,1452,17600,10252,4400,26400,,39600,13200,,1452,,,,1452,,,1452,13200,57200,22000,14652,22000,26400,26400,30800,35200,8800,,,,,17600,,11704,,,7304,5852,,13200,13200,17600,11704,5852,22000,,17600,11704,2904,19052,26400,10252,,4400,13200,11704,,5852,,39600,8800,17600,8800,4400,35200,1452,5852,7304
Pinnularia,Pinnularia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurosigma,Pleurosigma angulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurosigma,Pleurosigma directum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma falx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma normanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma spp.,,,,,,,,352,,176,,176,,,176,,176,,,,,,,,,,,,,,,,,704,,176,176,2904,,1452,,,,,,,,,,,,,352,,,382.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,352,,,,,,,,,352,,,352,,,,,2904,352,2904,2904,352,352,,,,2904,1452,352,1452,,,1452,,,,,352,17600,17600,17600,,,,,352,,,,,,176,,,,,176,1452,176,1452,,,,,,,176,2904,5852,2904,,,176,,176,,,,,704,176,,1452,,,704,,176,,704,,176,1452,,5852,2904,,176,,2904,,,,,,,,176,,2904,,,704,176,,176,176,,,176,,,,176,,704,,,88,,,,,176,,2904,176
Pseudo-nitzschia,Pseudo-nitzschia spp.,,,,,,,,,,,,1452,7304,,,,,,,,13200,,,5852,2904,,,,,,16104,19052,10252,,27852,2904,5852,14652,,10252,,,,13200,,5852,,,,,,,2904,,,,,5852,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,7304,16104,19052,2904,4400,,,,,,5852,,,17600,,5852,10252,,5852,2904,1452,,,,1452,,2904,,2904,,,,2904,,26400,,,,,,,,,,,,176,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,176
,Pseudo-nitzschia delicatissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pseudo-nitzschia pungens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhabdonema,Rhabdonema adriaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhaphoneis rhomoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhaphoneis spp.,,,,,,,13200,30800,5852,,1452,1452,,10252,2904,,,4400,,,,,,,,,,,,,,,,,,,,2904,,,1452,,,,,,,,,,,,,2904,,,,,,1452,,,,,,,,,1452,,,,,,,,,,1452,,,,,,,,,5852,,,,,,1452,,5852,,1452,,26400,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,1452,,,,704,,176,,,,,,,,,,,,704,1452,704,1452,,,,,1452,1452,,,1452,,,,,,,,,,,,,,,,176,,2904,176,,,,,352,,,,13200,19052,1452,,,,,,,176,8800,5852,17600
Rhizosolenia,Rhizosolenia alata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia calar-avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia longiseta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia pungens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia setigera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia stolterfothii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
